Name,Publisher,Year,Genre,Generation,Platform,Platform_type,Platform_company,Platform_Multi,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Professor's Brain Trainer: Logic,505 Games,2005,Puzzle,7,DS,Portable,Nintendo,Native,0.02,0.0,0.0,0.0,0.02
Zoids Dash,Tomy Corporation,2006,Role-Playing,7,DS,Portable,Nintendo,Native,0.0,0.0,0.02,0.0,0.02
Mini Ninjas,Eidos Interactive,2009,Action,7,PS3,Traditional,Sony,Multi,0.14,0.16,0.0,0.06,0.36000000000000004
Rise of Nations,Microsoft Game Studios,2003,Strategy,6,PC,PC,PC,Native,0.01,0.02,0.0,0.01,0.04
Hajime no Ippo: The Fighting! (2014),Namco Bandai Games,2014,Sports,7,PS3,Traditional,Sony,Native,0.0,0.0,0.03,0.0,0.03
Grand Kingdom,Nippon Ichi Software,2015,Role-Playing,8,PS4,Traditional,Sony,Multi,0.02,0.0,0.03,0.0,0.05
Tropico Reloaded,Kalypso Media,2009,Strategy,7,PC,PC,PC,Native,0.0,0.02,0.0,0.0,0.02
Ty the Tasmanian Tiger,Electronic Arts,2002,Platform,6,PS2,Traditional,Sony,Multi,0.57,0.45,0.0,0.15,1.17
Ghost in the Shell,Sony Computer Entertainment,1997,Simulation,5,PS,Traditional,Sony,Native,0.06,0.04,0.0,0.01,0.11
Cabela's Dangerous Hunts 2,Activision,2005,Sports,6,XB,Traditional,Microsoft,Multi,0.08,0.02,0.0,0.0,0.1
Don Bradman Cricket 14,Tru Blu Entertainment,2014,Sports,7,X360,Traditional,Microsoft,Multi,0.0,0.01,0.0,0.0,0.01
Injustice: Gods Among Us,Warner Bros. Interactive Entertainment,2013,Fighting,7,PS3,Traditional,Sony,Multi,0.48,0.53,0.01,0.23,1.25
Dr. Muto,Midway Games,2002,Platform,6,GC,Traditional,Nintendo,Multi,0.02,0.01,0.0,0.0,0.03
Starwinder: The Ultimate Space Race,Mindscape,1996,Racing,5,PS,Traditional,Sony,Native,0.03,0.02,0.0,0.0,0.05
World of Tanks,Wargaming.net,2011,Shooter,7,PC,PC,PC,Native,0.0,0.23,0.0,0.06,0.29000000000000004
Famicom Mini: Makaimura,Capcom,2004,Platform,6,GBA,Portable,Nintendo,Native,0.0,0.0,0.08,0.0,0.08
McGrath Vs. Pastrana Freestyle Motocross,Acclaim Entertainment,2000,Racing,5,PS,Traditional,Sony,Native,0.14,0.1,0.0,0.02,0.26
Kids Learn Music A+ Edition,Unknown,2011,Misc,7,DS,Portable,Nintendo,Native,0.05,0.0,0.0,0.0,0.05
Project Sylpheed: Arc of Deception,Microsoft Game Studios,2006,Shooter,7,X360,Traditional,Microsoft,Native,0.12,0.01,0.02,0.01,0.16
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,Nintendo,2015,Misc,8,3DS,Portable,Nintendo,Native,0.0,0.0,0.01,0.0,0.01
Mega Man Anniversary Collection,Capcom,2004,Platform,6,PS2,Traditional,Sony,Multi,0.29,0.22,0.0,0.08,0.59
G-Force,Disney Interactive Studios,2009,Action,7,Wii,Traditional,Nintendo,Multi,0.19,0.2,0.0,0.05,0.44
Advance Wars: Dual Strike,Nintendo,2005,Strategy,7,DS,Portable,Nintendo,Native,0.3,0.03,0.04,0.03,0.3999999999999999
Beamrider,Activision,1984,Racing,2,2600,Traditional,Atari,Native,0.26,0.01,0.0,0.0,0.27
Ninja Reflex,Electronic Arts,2008,Action,7,Wii,Traditional,Nintendo,Multi,0.11,0.01,0.0,0.01,0.13
FIFA World Cup Germany 2006,Electronic Arts,2006,Sports,6,XB,Traditional,Microsoft,Multi,0.18,0.05,0.0,0.01,0.24
Vagrant Story,Crave Entertainment,2000,Role-Playing,5,PS,Traditional,Sony,Native,0.3,0.2,0.3,0.06,0.8600000000000001
Knights of Honor,Sunflowers,2004,Strategy,6,PC,PC,PC,Native,0.0,0.02,0.0,0.01,0.03
Phoenix Wright: Ace Attorney - Trials and Tribulations,Capcom,2007,Adventure,7,DS,Portable,Nintendo,Native,0.33,0.05,0.25,0.04,0.67
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,Konami Digital Entertainment,2008,Action,7,DS,Portable,Nintendo,Native,0.0,0.0,0.05,0.0,0.05
Crysis 3,Electronic Arts,2013,Shooter,7,X360,Traditional,Microsoft,Multi,0.51,0.33,0.01,0.08,0.93
Resident Evil: Revelations 2,Capcom,2015,Action,7,PS3,Traditional,Sony,Multi,0.06,0.08,0.16,0.03,0.33000000000000007
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,Sega,1998,Sports,5,SAT,Traditional,Sega,Native,0.0,0.0,0.12,0.0,0.12
Sega Soccer Slam,Sega,2002,Sports,6,PS2,Traditional,Sony,Multi,0.06,0.05,0.0,0.02,0.13
Hellboy: The Science of Evil,Konami Digital Entertainment,2008,Action,7,PS3,Traditional,Sony,Multi,0.13,0.02,0.0,0.02,0.16999999999999998
Dreamworks Madagascar Kartz,Activision,2009,Racing,7,X360,Traditional,Microsoft,Multi,0.14,0.09,0.0,0.02,0.25
Chaotic: Shadow Warriors,Activision,2009,Action,7,Wii,Traditional,Nintendo,Multi,0.18,0.0,0.0,0.01,0.19
Mega Man Xtreme 2,Capcom,2001,Platform,4,GB,Portable,Nintendo,Native,0.0,0.0,0.07,0.0,0.07
IL-2 Sturmovik: Birds of Prey,505 Games,2009,Simulation,7,PS3,Traditional,Sony,Multi,0.34,0.26,0.0,0.1,0.7000000000000001
Rockin' Pretty,Arc System Works,2009,Misc,7,DS,Portable,Nintendo,Native,0.05,0.0,0.0,0.0,0.05
SpongeBob's Boating Bash,THQ,2010,Misc,7,Wii,Traditional,Nintendo,Multi,0.25,0.07,0.0,0.03,0.35
Sébastien Loeb Rally Evo,Milestone S.r.l,2016,Racing,8,PS4,Traditional,Sony,Multi,0.0,0.04,0.0,0.01,0.05
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,Kamui,2010,Misc,7,DS,Portable,Nintendo,Native,0.0,0.0,0.03,0.0,0.03
Tony Hawk: Shred,Activision,2010,Sports,7,Wii,Traditional,Nintendo,Multi,0.41,0.11,0.0,0.04,0.56
Bomberman,Hudson Soft,1985,Puzzle,3,NES,Traditional,Nintendo,Multi,0.18,0.0,0.85,0.0,1.03
The Hustle: Detroit Streets,Activision,2006,Sports,6,PS2,Traditional,Sony,Multi,0.02,0.02,0.0,0.01,0.05
Unreal Tournament III,Midway Games,2008,Shooter,7,X360,Traditional,Microsoft,Multi,0.25,0.17,0.01,0.05,0.48000000000000004
NieR,Square Enix,2010,Role-Playing,7,X360,Traditional,Microsoft,Multi,0.13,0.1,0.04,0.02,0.29000000000000004
Rango: The Video Game,Electronic Arts,2011,Action,7,Wii,Traditional,Nintendo,Multi,0.08,0.04,0.0,0.01,0.13
SD Gundam Force,Namco Bandai Games,2004,Shooter,6,GBA,Portable,Nintendo,Native,0.01,0.0,0.0,0.0,0.01
Virtua Fighter 3tb,Sega,1998,Fighting,6,DC,Traditional,Sega,Native,0.0,0.0,0.37,0.0,0.37
Kirby: Mass Attack,Nintendo,2011,Platform,7,DS,Portable,Nintendo,Native,0.52,0.06,0.41,0.05,1.04
Exhibition Volume 5,Microsoft Game Studios,2004,Misc,6,XB,Traditional,Microsoft,Native,0.04,0.01,0.0,0.0,0.05
Sherlock Holmes: Crimes & Punishments,Focus Home Interactive,2014,Adventure,8,PS4,Traditional,Sony,Multi,0.08,0.14,0.0,0.05,0.27
NBA 2K11,Take-Two Interactive,2010,Action,7,PC,PC,PC,Multi,0.18,0.0,0.0,0.01,0.19
Command & Conquer,Nintendo,1999,Strategy,5,N64,Traditional,Nintendo,Multi,0.22,0.05,0.0,0.0,0.27
Code Lyoko,Game Factory,2007,Action,7,DS,Portable,Nintendo,Native,0.03,0.01,0.0,0.0,0.04
Payday 2,505 Games,2015,Shooter,8,XOne,Traditional,Microsoft,Multi,0.08,0.07,0.0,0.01,0.16000000000000003
Teenage Mutant Ninja Turtles,Konami Digital Entertainment,2003,Action,6,XB,Traditional,Microsoft,Multi,0.22,0.06,0.0,0.01,0.29000000000000004
Age of Empires III: Complete Collection,Microsoft Game Studios,2009,Strategy,7,PC,PC,PC,Native,0.01,0.12,0.0,0.03,0.16
Deadliest Catch: Sea of Chaos,Crave Entertainment,2010,Sports,7,PS3,Traditional,Sony,Multi,0.08,0.0,0.0,0.01,0.09
Wrecking Crew,Nintendo,1985,Platform,3,NES,Traditional,Nintendo,Native,0.0,0.0,0.51,0.0,0.51
Buzz Lightyear of Star Command,Activision,2000,Platform,5,PS,Traditional,Sony,Native,0.35,0.24,0.0,0.04,0.63
Sudokuro,Crave Entertainment,2007,Puzzle,7,DS,Portable,Nintendo,Native,0.1,0.0,0.0,0.01,0.11
Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Takara Tomy,2008,Racing,7,Wii,Traditional,Nintendo,Native,0.0,0.0,0.01,0.0,0.01
Dynasty Warriors Advance,Nintendo,2005,Action,6,GBA,Portable,Nintendo,Native,0.08,0.03,0.0,0.0,0.11
Treasures of the Deep,Namco Bandai Games,1997,Action,5,PS,Traditional,Sony,Native,0.1,0.07,0.0,0.01,0.18000000000000002
Mobile Suit Gundam: Perfect One Year War,Namco Bandai Games,1997,Strategy,5,PS,Traditional,Sony,Native,0.0,0.0,0.14,0.01,0.15000000000000002
Billy Hatcher and the Giant Egg,Sega,2003,Platform,6,GC,Traditional,Nintendo,Native,0.19,0.05,0.0,0.01,0.25
Tom and Jerry in Fists of Furry,Ubisoft,2000,Fighting,5,N64,Traditional,Nintendo,Native,0.13,0.03,0.0,0.0,0.16
Resident Evil: Dead Aim,Capcom,2003,Action,6,PS2,Traditional,Sony,Native,0.17,0.13,0.0,0.04,0.34
Seiken Densetsu 3,SquareSoft,1995,Role-Playing,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.89,0.0,0.89
Spy vs Spy,Global Star,2005,Action,6,XB,Traditional,Microsoft,Native,0.08,0.02,0.0,0.0,0.1
Harry Potter and the Deathly Hallows - Part 1,Electronic Arts,2010,Action,7,PS3,Traditional,Sony,Multi,0.13,0.21,0.0,0.08,0.42
Bugs Bunny: Lost in Time,Infogrames,1999,Platform,5,PS,Traditional,Sony,Native,0.22,0.15,0.0,0.03,0.4
Tom Clancy's Ghost Recon: Predator,Ubisoft,2010,Shooter,7,PSP,Portable,Sony,Native,0.07,0.02,0.0,0.02,0.11000000000000001
Death Jr.,Konami Digital Entertainment,2005,Platform,7,PSP,Portable,Sony,Native,0.17,0.0,0.0,0.01,0.18000000000000002
Disney Universe,Disney Interactive Studios,2011,Action,7,Wii,Traditional,Nintendo,Multi,0.67,0.3,0.0,0.1,1.07
Pac-Man and the Ghostly Adventures 2,Namco Bandai Games,2014,Adventure,7,PS3,Traditional,Sony,Multi,0.05,0.04,0.0,0.02,0.11
Need for Speed Underground,Electronic Arts,2003,Racing,6,PC,PC,PC,Multi,0.0,0.04,0.0,0.01,0.05
Robotron 64,GT Interactive,1998,Shooter,5,N64,Traditional,Nintendo,Native,0.07,0.02,0.0,0.0,0.09000000000000001
Gummy Bears Magical Medallion,Storm City Games,2011,Platform,7,Wii,Traditional,Nintendo,Native,0.02,0.0,0.0,0.0,0.02
Tony Hawk's Pro Skater 2,Activision,2001,Sports,5,N64,Traditional,Nintendo,Multi,0.59,0.16,0.0,0.01,0.76
Red Steel 2,Ubisoft,2010,Shooter,7,Wii,Traditional,Nintendo,Native,0.36,0.21,0.01,0.06,0.6399999999999999
Romancing SaGa 2,SquareSoft,1993,Role-Playing,4,SNES,Traditional,Nintendo,Native,0.0,0.0,1.17,0.0,1.17
Samurai Warriors Chronicles 3,Tecmo Koei,2014,Action,8,3DS,Portable,Nintendo,Multi,0.0,0.0,0.08,0.0,0.08
Where's Waldo? The Fantastic Journey,Ubisoft,2009,Adventure,7,Wii,Traditional,Nintendo,Multi,0.18,0.0,0.0,0.01,0.19
Nobunaga no Yabou: Ranseiki,Tecmo Koei,2002,Strategy,6,PS2,Traditional,Sony,Native,0.0,0.0,0.13,0.0,0.13
The Guy Game,Gathering of Developers,2004,Misc,6,XB,Traditional,Microsoft,Multi,0.05,0.02,0.0,0.0,0.07
Metroid Prime Pinball,Nintendo,2005,Misc,7,DS,Portable,Nintendo,Native,0.21,0.0,0.02,0.02,0.24999999999999997
NCAA Football 08,Electronic Arts,2007,Sports,6,XB,Traditional,Microsoft,Multi,0.06,0.02,0.0,0.0,0.08
NHL 06,Electronic Arts,2005,Sports,6,XB,Traditional,Microsoft,Multi,0.19,0.05,0.0,0.01,0.25
Madden NFL 2001,Electronic Arts,2000,Sports,6,PS2,Traditional,Sony,Multi,1.19,0.07,0.05,0.2,1.51
Yakuza Kiwami,Sega,2016,Adventure,7,PS3,Traditional,Sony,Multi,0.0,0.0,0.12,0.0,0.12
Ore wa Shoujo Mangaka,Giza10,2012,Action,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Rocky Balboa,Ubisoft,2007,Sports,7,PSP,Portable,Sony,Native,0.01,0.09,0.0,0.01,0.10999999999999999
Victory Spike,Imagineer,1996,Sports,5,PS,Traditional,Sony,Native,0.0,0.0,0.01,0.0,0.01
Bubble Bobble Revolution,Atari,2005,Puzzle,7,DS,Portable,Nintendo,Native,0.04,0.0,0.0,0.0,0.04
State of Emergency 2,SouthPeak Games,2006,Shooter,6,PS2,Traditional,Sony,Native,0.04,0.03,0.0,0.01,0.08
Lords of the Fallen,Square Enix,2014,Role-Playing,8,PC,PC,PC,Multi,0.0,0.03,0.0,0.0,0.03
Mazes of Fate DS,Graffiti,2008,Role-Playing,7,DS,Portable,Nintendo,Native,0.04,0.0,0.0,0.0,0.04
Jikkyou Powerful Pro Baseball 2016,Konami Digital Entertainment,2016,Sports,8,PS4,Traditional,Sony,Multi,0.0,0.0,0.17,0.0,0.17
King Arthur,Konami Digital Entertainment,2004,Action,6,GC,Traditional,Nintendo,Multi,0.03,0.01,0.0,0.0,0.04
Magna Carta Portable,Banpresto,2006,Role-Playing,7,PSP,Portable,Sony,Native,0.0,0.0,0.03,0.0,0.03
Lise no Atelier: Ordre no Renkinjutsushi,Gust,2007,Role-Playing,7,DS,Portable,Nintendo,Native,0.0,0.0,0.04,0.0,0.04
Armored Core: Master of Arena,From Software,1999,Simulation,5,PS,Traditional,Sony,Native,0.07,0.05,0.13,0.02,0.27
Call of Duty 4: Modern Warfare,Activision,2007,Shooter,7,X360,Traditional,Microsoft,Multi,5.91,2.38,0.13,0.9,9.32
Shrek Super Party,TDK Mediactive,2003,Misc,6,GC,Traditional,Nintendo,Multi,0.04,0.01,0.0,0.0,0.05
Steins;Gate: Hiyoku Renri no Darling,5pb,2012,Adventure,7,PS3,Traditional,Sony,Multi,0.0,0.0,0.02,0.0,0.02
Crime Scene,Nobilis,2009,Adventure,7,DS,Portable,Nintendo,Native,0.0,0.02,0.0,0.0,0.02
Mortal Kombat,Warner Bros. Interactive Entertainment,2011,Fighting,7,PS3,Traditional,Sony,Multi,1.98,0.55,0.0,0.32,2.85
Circuit Breakers,Mindscape,1998,Racing,5,PS,Traditional,Sony,Native,0.04,0.03,0.0,0.0,0.07
Rozen Maiden: Gebetgarten,Taito,2007,Fighting,6,PS2,Traditional,Sony,Native,0.0,0.0,0.01,0.0,0.01
Sea Park Tycoon,Foreign Media Games,2010,Simulation,7,DS,Portable,Nintendo,Native,0.02,0.01,0.0,0.0,0.03
Hot Wheels: Battle Force 5,Activision,2009,Racing,7,DS,Portable,Nintendo,Multi,0.13,0.02,0.0,0.01,0.16
Call of Duty 4: Modern Warfare,Activision,2007,Shooter,7,PC,PC,PC,Multi,0.0,1.12,0.0,0.03,1.1500000000000001
Rabbids Invasion: The Interactive TV Show,Ubisoft,2014,Misc,8,PS4,Traditional,Sony,Multi,0.0,0.01,0.0,0.0,0.01
Cabela's Big Game Hunter: Pro Hunts,Activision,2014,Shooter,8,WiiU,Traditional,Nintendo,Multi,0.02,0.0,0.0,0.0,0.02
Forza Horizon 2,Microsoft Game Studios,2014,Racing,7,X360,Traditional,Microsoft,Multi,0.35,0.43,0.0,0.07,0.8500000000000001
Hitman: HD Trilogy,Square Enix,2013,Action,7,PS3,Traditional,Sony,Multi,0.07,0.1,0.0,0.04,0.21000000000000002
Super Robot Taisen XO,Banpresto,2006,Strategy,7,X360,Traditional,Microsoft,Native,0.0,0.0,0.01,0.0,0.01
Call of Juarez: The Cartel,Ubisoft,2011,Shooter,7,PS3,Traditional,Sony,Multi,0.12,0.13,0.0,0.05,0.3
Warriors Orochi 3,Tecmo Koei,2014,Action,8,PS4,Traditional,Sony,Multi,0.04,0.05,0.04,0.02,0.15
The Incredibles: Rise of the Underminer,THQ,2005,Action,6,PS2,Traditional,Sony,Multi,0.18,0.14,0.0,0.05,0.37
Looney Tunes: Galactic Sports,Sony Computer Entertainment,2015,Action,8,PSV,Portable,Sony,Native,0.0,0.06,0.0,0.02,0.08
Sumikko Gurashi: Koko ga Ochitsukundesu,Nippon Columbia,2014,Action,8,3DS,Portable,Nintendo,Native,0.0,0.0,0.17,0.0,0.17
FIFA Manager 12,Electronic Arts,2011,Sports,7,PC,PC,PC,Native,0.0,0.03,0.0,0.01,0.04
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Games,2003,Action,6,PS2,Traditional,Sony,Multi,0.09,0.07,0.0,0.02,0.18
UEFA Euro 2008 Austria-Switzerland,Electronic Arts,2008,Sports,7,PSP,Portable,Sony,Multi,0.06,0.13,0.0,0.06,0.25
TOCA Race Driver 3,Codemasters,2006,Racing,7,PC,PC,PC,Multi,0.0,0.02,0.0,0.0,0.02
Fallout 4,Bethesda Softworks,2015,Role-Playing,8,PC,PC,PC,Multi,0.5,0.63,0.0,0.1,1.23
"Army Men World War: Land, Sea, Air",3DO,2000,Action,5,PS,Traditional,Sony,Native,0.17,0.12,0.0,0.02,0.31000000000000005
Dai-2-Ji Super Robot Taisen α,Banpresto,2003,Strategy,6,PS2,Traditional,Sony,Native,0.0,0.0,0.6,0.0,0.6
Yu-Gi-Oh! The Sacred Cards,Konami Digital Entertainment,2002,Role-Playing,6,GBA,Portable,Nintendo,Native,0.94,0.35,0.0,0.02,1.31
Nicola Kanshuu: Model * Oshare Audition,Alchemist,2010,Misc,7,DS,Portable,Nintendo,Native,0.0,0.0,0.06,0.0,0.06
SX Superstar,Acclaim Entertainment,2003,Racing,6,GC,Traditional,Nintendo,Multi,0.03,0.01,0.0,0.0,0.04
Style Savvy: Trendsetters,Nintendo,2012,Simulation,8,3DS,Portable,Nintendo,Native,0.16,0.02,0.53,0.01,0.72
Densetsu no Stafi 4,Nintendo,2006,Platform,7,DS,Portable,Nintendo,Native,0.0,0.0,0.17,0.0,0.17
"Simple 2500 Series Portable!! Vol. 12: The Hohei 2: Senyuu yo, Sakini Ike",D3Publisher,2009,Action,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
The Sims 2: Castaway,Electronic Arts,2007,Simulation,7,DS,Portable,Nintendo,Multi,0.63,0.05,0.0,0.06,0.74
Gegege no Kitarou 2: Youkai Gundan no Chousen,Namco Bandai Games,1987,Role-Playing,3,NES,Traditional,Nintendo,Native,0.0,0.0,1.25,0.0,1.25
Tom Clancy's Rainbow Six: Vegas 2,Ubisoft,2008,Shooter,7,PC,PC,PC,Multi,0.0,0.02,0.0,0.0,0.02
Disney Guilty Party,Disney Interactive Studios,2010,Misc,7,Wii,Traditional,Nintendo,Native,0.43,0.0,0.0,0.03,0.45999999999999996
International Superstar Soccer 2000 (JP weekly sales),Konami Digital Entertainment,1999,Sports,5,N64,Traditional,Nintendo,Native,0.0,0.0,0.18,0.0,0.18
PictoImage,Sega,2007,Puzzle,7,DS,Portable,Nintendo,Native,0.1,0.0,0.0,0.01,0.11
Tamagotchi no Narikiri Channel,Namco Bandai Games,2009,Role-Playing,7,DS,Portable,Nintendo,Native,0.0,0.0,0.15,0.0,0.15
Doom 3 BFG Edition,Bethesda Softworks,2012,Shooter,7,PC,PC,PC,Multi,0.0,0.02,0.0,0.01,0.03
Dragon Quest VII: Warriors of Eden,Enix Corporation,2000,Role-Playing,5,PS,Traditional,Sony,Multi,0.2,0.14,4.1,0.02,4.459999999999999
El Shaddai: Ascension of the Metatron,Ignition Entertainment,2011,Action,7,X360,Traditional,Microsoft,Multi,0.07,0.05,0.03,0.01,0.16000000000000003
Burnout 3: Takedown,Electronic Arts,2004,Racing,6,PS2,Traditional,Sony,Multi,1.23,1.11,0.0,0.34,2.6799999999999997
Dragon Quest Builders: Revive Alefgard,Square Enix,2016,Role-Playing,8,PS4,Traditional,Sony,Multi,0.0,0.0,0.22,0.0,0.22
MediEvil: Resurrection,Sony Computer Entertainment,2005,Adventure,7,PSP,Portable,Sony,Native,0.19,0.41,0.0,0.22,0.82
Twinkle * Crusaders GoGo!,ASCII Media Works,2010,Adventure,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
One Piece: Grand Battle!,Atari,2001,Fighting,5,PS,Traditional,Sony,Native,0.0,0.0,0.46,0.03,0.49
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,Konami Digital Entertainment,2011,Sports,7,PSP,Portable,Sony,Multi,0.0,0.0,0.13,0.0,0.13
The Warriors,Take-Two Interactive,2005,Action,6,PS2,Traditional,Sony,Multi,0.44,0.02,0.0,0.07,0.53
The Sims 2,Electronic Arts,2004,Simulation,6,PC,PC,PC,Multi,0.02,0.24,0.0,0.05,0.31
NCAA Football 07,Electronic Arts,2006,Sports,6,XB,Traditional,Microsoft,Multi,0.42,0.12,0.0,0.01,0.55
Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,Nintendo,2004,Strategy,6,GBA,Portable,Nintendo,Native,0.0,0.0,0.08,0.0,0.08
Marvel Super Heroes,Virgin Interactive,1997,Fighting,5,PS,Traditional,Sony,Multi,0.19,0.13,0.0,0.02,0.34
Max Payne,Take-Two Interactive,2003,Shooter,6,GBA,Portable,Nintendo,Multi,0.02,0.01,0.0,0.0,0.03
Curse of the Amsterdam Diamond,Easy Interactive,2012,Puzzle,7,DS,Portable,Nintendo,Native,0.0,0.01,0.0,0.0,0.01
SD Gundam G Generation World,Namco Bandai Games,2011,Strategy,7,PSP,Portable,Sony,Multi,0.0,0.0,0.34,0.0,0.34
Conflict: Desert Storm,SCi,2003,Shooter,6,GC,Traditional,Nintendo,Multi,0.06,0.02,0.0,0.0,0.08
Mystic Ark,Enix Corporation,1995,Role-Playing,4,SNES,Traditional,Nintendo,Native,0.0,0.0,0.13,0.0,0.13
F.E.A.R. 2: Project Origin,Warner Bros. Interactive Entertainment,2009,Shooter,7,PS3,Traditional,Sony,Multi,0.19,0.21,0.01,0.08,0.49000000000000005
Madden NFL 07,Electronic Arts,2006,Sports,6,XB,Traditional,Microsoft,Multi,0.97,0.03,0.0,0.03,1.03
Rugby 06,Electronic Arts,2006,Sports,6,XB,Traditional,Microsoft,Multi,0.01,0.0,0.0,0.0,0.01
FIFA Soccer,Electronic Arts,2005,Sports,7,PSP,Portable,Sony,Multi,0.11,0.0,0.0,0.01,0.12
Ore no Yome: Anata Dake no Hanayome,Idea Factory,2010,Adventure,7,X360,Traditional,Microsoft,Native,0.0,0.0,0.02,0.0,0.02
Goblin Commander: Unleash the Horde,Jaleco,2003,Strategy,6,GC,Traditional,Nintendo,Multi,0.01,0.0,0.0,0.0,0.01
Phoenix Wright: Revived Turnabout,Capcom,2008,Misc,7,DS,Portable,Nintendo,Native,0.0,0.0,0.04,0.0,0.04
Fatal Frame III: The Tormented,Take-Two Interactive,2005,Action,6,PS2,Traditional,Sony,Native,0.04,0.03,0.0,0.01,0.08
Garfield's Nightmare,Game Factory,2007,Platform,7,DS,Portable,Nintendo,Native,0.01,0.0,0.0,0.0,0.01
Turbo Turtle Adventure,Majesco Entertainment,2002,Puzzle,6,GBA,Portable,Nintendo,Native,0.04,0.01,0.0,0.0,0.05
Carnage Heart EXA,ArtDink,2010,Strategy,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Left 4 Dead 2,Electronic Arts,2009,Shooter,7,X360,Traditional,Microsoft,Multi,2.67,0.89,0.05,0.37,3.98
WWE 2K15,Take-Two Interactive,2014,Sports,7,PS3,Traditional,Sony,Multi,0.36,0.35,0.0,0.14,0.85
Dora the Explorer: Super Star Adventures,Game Factory,2004,Adventure,6,GBA,Portable,Nintendo,Native,0.17,0.06,0.0,0.0,0.23
Shin Chan: ¡Aventuras de Cine!,505 Games,2008,Platform,7,DS,Portable,Nintendo,Native,0.0,0.0,0.15,0.0,0.15
The Legend of Heroes: Trails of Cold Steel II,Nippon Ichi Software,2014,Role-Playing,7,PS3,Traditional,Sony,Multi,0.01,0.0,0.11,0.0,0.12
NBA 2K17,Take-Two Interactive,2016,Sports,7,X360,Traditional,Microsoft,Multi,0.04,0.0,0.0,0.01,0.05
Shutsugeki! Otometachi no Senjou 2: Ikusabana no Kizuna,System Soft,2011,Strategy,7,PSP,Portable,Sony,Native,0.0,0.0,0.01,0.0,0.01
Doki-Doki Universe,Sony Computer Entertainment,2013,Adventure,8,PSV,Portable,Sony,Native,0.01,0.04,0.0,0.01,0.060000000000000005
Dr. Seuss' The Cat in the Hat,Vivendi Games,2003,Misc,6,XB,Traditional,Microsoft,Multi,0.08,0.02,0.0,0.0,0.1
Alpha Protocol,Sega,2010,Role-Playing,7,PC,PC,PC,Multi,0.0,0.03,0.0,0.01,0.04
Bust-A-Move '99,Acclaim Entertainment,1997,Puzzle,5,PS,Traditional,Sony,Multi,0.18,0.12,0.0,0.02,0.32
Puzzle Quest: Challenge of the Warlords,D3Publisher,2007,Puzzle,7,DS,Portable,Nintendo,Multi,0.28,0.01,0.03,0.02,0.3400000000000001
